あい|愛|love
ゆうこう|有効|validity, availability, effectiveness
ゆうしゅう|優秀|superiority, excellence
ゆうしょう|優勝|overall victory, championship
ゆうじょう|友情|friendship, fellowship
ゆうじん|友人|friend
ゆうのう|有能|able, capable, efficient
ゆうびん|郵便|mail, postal service
ゆうべ|夕べ|evening
ユーモア||humor
ゆうり|有利|advantageous, profitable, lucrative
ゆか|床|floor
ゆかい|愉快|pleasant, happy
ゆしゅつ|輸出|export
ゆずる|譲る|to turn over, to assign, to hand over
ゆたか|豊か|abundant, wealthy, plentiful
ゆっくり||slowly, at ease
ゆにゅう|輸入|importation, import, introduction
ゆるす|許す|to permit, to allow, to approve
よ|夜|evening, night
よあけ|夜明け|dawn, daybreak
よう|様|appearing...; looking...;
よう|酔う|to get drunk
ようい|容易|easy, simple, plain
ようき|陽気|season, weather, cheerfulness
ようきゅう|要求|request, demand, requisition
ようじん|用心|care, precaution, caution
ようす|様子|aspect, state, appearance
ようするに|要するに|the point is .., in short ..
ようそ|要素|element
ようてん|要点|gist, main point
ようび|曜日|day of the week
ヨーロッパ||Europe
よき|予期|expectation, forecast
よこぎる|横切る|to cross, to traverse
よさん|予算|estimate, budget
よす|止す|to cease, to abolish, to resign
よそく|予測|prediction, estimation
ヨット||yacht
よなか|夜中|midnight, dead of night
よのなか|世の中|society, the world, the times
よぶん|余分|extra, excess, surplus
よほう|予報|forecast, prediction
よぼう|予防|prevention, precaution
よみ|読み|reading
よめ|嫁|bride, daughter-in-law
よゆう|余裕|margin, room, allowance
より||than; from; out of
よると||according to
よろこび|喜び|joy, delight, pleasure
よろしい|宜しい|(hon) good, all right, fine
よん|四|four
らい|来|next (year, etc.)
ライター||lighter, writer
らく|楽|comfort, ease
ラケット||paddle, racket
りえき|利益|profits, gains, interest
りかい|理解|understanding, comprehension
りく|陸|land; shore
りこう|利口|clever, sharp, intelligent
りこん|離婚|divorce
りそう|理想|ideal
りつ|率|rate, ratio, proportion, percentage
りっぱ|立派|splendid, elegant, legitimate
りゅうがく|留学|studying abroad
りゅうこう|流行|fashion; fad; vogue
りょう|量|quantity, amount, volume
りょうがえ|両替|change, money exchange
りょうきん|料金|fee, charge, fare
れい|例|instance, example, case
れい|礼|expression of gratitude
れいぎ|礼儀|manners, courtesy, etiquette
れいせい|冷静|calm, composure, coolness
れつ|列|queue, line, row
れっしゃ|列車|train (ordinary)
レポート||report, paper
れんしゅう|練習|practice
れんそう|連想|association (of ideas)
れんぞく|連続|serial, consecutive, continuity
ろうじん|老人|the aged, old person
ろうどう|労働|manual labor, toil, work
ロケット||locket, rocket
ろんじる|論じる|to argue, to discuss, to debate
ろんそう|論争|controversy, dispute
ろんぶん|論文|thesis, essay
わ|輪|ring, hoop, circle
ワイン||wine
わがまま||selfishness, egoism
わかれ|別れ|parting, separation, farewell
わき|脇|side
わける|分ける|to divide, to separate
わざと||on purpose
わずか|僅か|only, merely, a little
わた|綿|cotton
わだい|話題|topic, subject
わらい|笑い|laugh, laughter, smile
わり|割|rate; ratio;||unit of 10%; mixed with (of drinks)
わる|割る|to divide, to cut, to break
わるくち|悪口|abuse, insult
われわれ|我々|we
わん|湾|bay, gulf, inlet
